trade_date,candidate_index,symbol,name,pattern_id,macd_cross_state,macd_divergence_state,volume_price_divergence_state,ATR14,ATR%,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,reason,tier,macd_top_divergence_15d,macd_bottom_divergence_15d,stable_score,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,macd,macd_signal_line,macd_hist,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,交易日期,收盘价,连续上榜天数,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,extension_above_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,pullback_max_volume,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_rise_tail_volume_ratio,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days,support_touch_date
2026-05-08,21,"=""000906""",浙商中拓,2,above_signal,bottom_divergence,bullish,0.1951,2.91,6.5149,6.3198,7.1002,7.2953,低波动,"price above old high 6.38 from 2025-11-14, post_breakout=6d, vol_ratio=1.27",第三梯队,False,True,3.7709,,1.4045,,,,,,,,,,,,0.2007,0.1056,0.1902,2026-04-21,True,False,2026-05-08,6.71,1,2025-11-14,6.38,113.0,0.1677,-0.0517,0.0517,2026-04-27,1.2689,0.8837,0.1163,0.3023,0.1054,low,6.0,0.0559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,22,"=""601512""",中新集团,2,above_signal,none,bullish,0.4995,4.69,10.1405,9.6409,11.6391,12.1386,中等波动,"price above old high 10.34 from 2026-01-12, post_breakout=8d, vol_ratio=1.17",第三梯队,False,False,2.7531,,2.2085,,,,,,,,,,,,0.4026,0.3176,0.1699,,True,False,2026-05-08,10.64,1,2026-01-12,10.34,74.0,0.2021,-0.029,0.029,2026-04-23,1.175,1.0,0.0,1.0,0.0255,low,8.0,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,23,"=""600790""",轻纺城,2,above_signal,none,none,0.1619,3.28,4.7781,4.6163,5.2637,5.4256,中等波动,"price above old high 4.35 from 2025-04-24, post_breakout=2d, vol_ratio=1.18",第三梯队,False,False,1.9672,,3.5858,,,,,,,,,,,,0.2191,0.0924,0.2533,,False,False,2026-05-08,4.94,1,2025-04-24,4.3479,249.0,0.2165,-0.1362,0.1362,2026-05-06,1.175,1.0,0.0,0.9318,0.0413,low,2.0,0.0866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,24,"=""600150""",中国船舶,2,above_signal,none,none,1.3948,3.39,39.7552,38.3604,43.9396,45.3344,中等波动,"price above old high 40.98 from 2025-08-19, post_breakout=5d, vol_ratio=1.09",第三梯队,False,False,1.9661,,1.0559,,,,,,,,,,,,2.1408,1.5644,1.1527,,False,False,2026-05-08,41.15,1,2025-08-19,40.98,170.0,0.2679,-0.0041,0.0041,2026-04-28,1.0865,0.8077,0.1923,0.7722,0.0433,low,5.0,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,25,"=""603390""",通达电气,2,above_signal,none,none,0.4773,3.42,13.4927,13.0153,14.9247,15.402,中等波动,"price above old high 13.88 from 2026-01-06, post_breakout=7d, vol_ratio=1.69",第三梯队,False,False,1.9658,,1.3523,,,,,,,,,,,,0.5229,0.3838,0.2782,,False,False,2026-05-08,13.97,1,2026-01-06,13.88,78.0,0.2205,-0.0065,0.0065,2026-04-24,1.6934,1.0,0.0,0.9785,0.1455,low,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,26,"=""002158""",汉钟精机,2,above_signal,none,none,1.2179,3.88,30.1721,28.9542,33.8258,35.0437,中等波动,"price above old high 29.61 from 2025-09-19, post_breakout=2d, vol_ratio=1.17",第三梯队,False,False,1.9612,,2.1364,,,,,,,,,,,,1.6151,0.8757,1.4789,,False,False,2026-05-08,31.39,1,2025-09-19,29.61,147.0,0.2752,-0.0601,0.0601,2026-05-06,1.1725,1.0,0.0,1.0,0.0541,low,2.0,0.0975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,27,"=""003022""",联泓新科,2,above_signal,none,none,0.9882,4.09,23.1918,22.2035,26.1565,27.1447,中等波动,"price above old high 23.89 from 2025-09-12, post_breakout=8d, vol_ratio=1.48",第三梯队,False,False,1.9591,,1.3195,,,,,,,,,,,,1.116,1.0275,0.177,,False,False,2026-05-08,24.18,1,2025-09-12,23.89,152.0,0.2453,-0.0121,0.0121,2026-04-23,1.4798,1.0,0.0,1.0,0.0292,low,8.0,0.0468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,28,"=""601996""",丰林集团,2,above_signal,none,none,0.1531,4.89,2.9769,2.8239,3.4361,3.5892,中等波动,"price above old high 2.85 from 2025-11-17, post_breakout=1d, vol_ratio=1.27",第三梯队,False,False,1.9511,,2.5874,,,,,,,,,,,,0.1237,0.0757,0.0961,,False,False,2026-05-08,3.13,1,2025-11-17,2.85,112.0,0.2316,-0.0982,0.0982,2026-05-07,1.2734,1.0,0.0,0.8966,0.1091,low,1.0,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,29,"=""600961""",株冶集团,2,above_signal,none,none,1.6208,5.42,28.2592,26.6383,33.1217,34.7425,中等波动,"price above old high 27.48 from 2026-01-29, post_breakout=9d, vol_ratio=2.77",第三梯队,False,False,1.9458,,1.5548,,,,,,,,,,,,2.6191,2.2458,0.7465,,False,False,2026-05-08,29.88,1,2026-01-29,27.48,61.0,0.4192,-0.0873,0.0873,2026-04-22,2.7709,0.8836,0.1164,0.746,0.2632,low,9.0,0.0795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,30,"=""603222""",济民健康,4,below_signal,none,bullish,0.5074,5.0,9.6426,9.1352,11.1648,11.6721,中等波动,"duck peak 2026-04-07 at 11.52, neck=29.15%, pullback=20.75%, cross=2026-05-08, vol/pk_tail=0.43",第三梯队,False,False,1.75,,0.6086,,,,,,,,,,,,0.109,0.1384,-0.0589,,True,False,2026-05-08,10.15,1,,,,,,,,,,,,,,,,2026-04-07,11.52,20.0,2026-02-24,0.2915,0.3714,2026-04-28,9.13,0.2075,2026-05-08,0.0,5.0,0.0125,0.0125,0.6086,-0.1189,0.4263,0.5377,0.994,0.0,0.0327,2.3319,81460579.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,31,"=""605162""",新中港,6,below_signal,bottom_divergence,bullish,0.8262,7.02,10.9438,10.1177,13.4223,14.2485,高波动,"double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d",第二梯队,False,True,5.7298,,0.4431,,,,,,,,,,,,-0.092,0.1841,-0.5524,2026-04-20,True,False,2026-05-08,11.77,1,,,,,,,,,,,,,,,,,,,,,,2026-04-30,11.09,0.2836,,,,,,,,,0.4871,,,,,51978014.0,break_reclaim,2026-03-31,11.61,11.61,1.1209,1.6448,2026-04-08,15.48,0.3333,2026-04-08,15.48,0.3333,5.0,0.8831,39459994.2222,19222045.2,62073972.6667,0.8374,2026-05-06,0.3736,2026-05-07,1.0,1.0,
2026-05-08,32,"=""002293""",罗莱生活,3,above_signal,bottom_divergence,none,0.3865,3.61,10.3135,9.9271,11.4729,11.8594,中等波动,"post breakout 8d from 2026-04-23, below old high 11.15, vol_ratio=1.55",第二梯队,False,True,3.9639,,1.0211,,,,,,,,,,,,0.2084,0.202,0.0128,2026-04-16,False,False,2026-05-08,10.7,1,2023-05-09,11.15,725.0,0.5,0.0404,0.0,2026-04-23,1.5516,0.6986,0.3014,0.3562,0.039,low,8.0,0.0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,33,"=""002940""",昂利康,6,below_signal,none,none,2.0896,6.53,29.8904,27.8009,36.1591,38.2487,高波动,"double-volume support hold: anchor=2026-04-15 close=32.36, peak=43.08 on 2026-04-20, launch=33.13%, limit_up_like=2, pullback=25.86%, vol_back/front=0.64, pullback_max/rise_tail=0.80, touch=2026-05-08",第二梯队,False,False,3.9347,,0.5196,,,,,,,,,,,,0.2308,0.9584,-1.4551,,False,False,2026-05-08,31.98,2,,,,,,,,,,,,,,,,,,,,,,2026-05-08,31.94,0.2586,,,,,,,,,0.6352,,,,,31792863.0,support_hold,2026-04-15,32.36,32.36,2.1928,1.4922,2026-04-20,43.08,0.3313,2026-04-20,43.08,0.3313,2.0,0.7713,21919056.2,13923269.3333,39890097.6667,0.797,,,,,,2026-05-08
2026-05-08,34,"=""603788""",宁波高发,3,above_signal,none,bullish,0.5267,3.07,16.6033,16.0767,18.1833,18.71,中等波动,"post breakout 10d from 2026-04-21, below old high 17.23, vol_ratio=3.87",第二梯队,False,False,3.7693,,0.7261,,,,,,,,,,,,0.4371,0.4233,0.0276,,True,False,2026-05-08,17.13,3,2026-01-23,17.23,65.0,0.1735,0.0058,0.0,2026-04-21,3.8695,1.0,0.0,1.0,6.6228,normal,10.0,0.0774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
