symbol,name,all_rating_2026-04-03,all_rating_2026-04-07,all_rating_2026-04-08,all_rating_2026-04-09,all_rating_2026-04-10,avg_all_rating_5d,ma_rating,osc_rating,all_rating,ma_rating_label,osc_rating_label,all_rating_label,trade_date
"=""603061""",金海通,0.26666666666666666,0.49090909090909096,0.6484848484848484,0.603030303030303,0.4212121212121212,0.486060606060606,0.9333333333333333,-0.09090909090909091,0.4212121212121212,strong_buy,neutral,buy,2026-04-10
"=""003007""",直真科技,0.603030303030303,0.603030303030303,0.4212121212121212,0.4454545454545455,0.35757575757575755,0.486060606060606,0.5333333333333333,0.18181818181818182,0.35757575757575755,strong_buy,buy,buy,2026-04-10
"=""002361""",神剑股份,0.35454545454545455,0.4454545454545455,0.603030303030303,0.5121212121212121,0.5121212121212121,0.48545454545454547,0.9333333333333333,0.09090909090909091,0.5121212121212121,strong_buy,neutral,strong_buy,2026-04-10
"=""600713""",南京医药,0.603030303030303,0.49090909090909096,0.4212121212121212,0.4,0.5121212121212121,0.48545454545454547,0.9333333333333333,0.09090909090909091,0.5121212121212121,strong_buy,neutral,strong_buy,2026-04-10
"=""000729""",燕京啤酒,0.603030303030303,0.5121212121212121,0.4666666666666667,0.4,0.4454545454545455,0.48545454545454547,0.8,0.09090909090909091,0.4454545454545455,strong_buy,neutral,buy,2026-04-10
"=""605589""",圣泉集团,0.5121212121212121,0.603030303030303,0.4212121212121212,0.4454545454545455,0.4454545454545455,0.48545454545454547,0.8,0.09090909090909091,0.4454545454545455,strong_buy,neutral,buy,2026-04-10
"=""603588""",高能环境,0.4,0.5575757575757576,0.603030303030303,0.5575757575757576,0.3090909090909091,0.48545454545454547,0.8,-0.18181818181818182,0.3090909090909091,strong_buy,sell,buy,2026-04-10
"=""600519""",贵州茅台,0.5363636363636364,0.4242424242424242,0.5575757575757576,0.4,0.49090909090909096,0.4818181818181818,0.8,0.18181818181818182,0.49090909090909096,strong_buy,buy,buy,2026-04-10
"=""000951""",中国重汽,0.6484848484848484,0.4454545454545455,0.35454545454545455,0.35454545454545455,0.603030303030303,0.48121212121212126,0.9333333333333333,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10
"=""002432""",九安医疗,0.4,0.49090909090909096,0.5575757575757576,0.35454545454545455,0.603030303030303,0.48121212121212126,0.9333333333333333,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10
"=""603162""",海通发展,0.603030303030303,0.4666666666666667,0.4666666666666667,0.5121212121212121,0.35454545454545455,0.4806060606060606,0.8,-0.09090909090909091,0.35454545454545455,strong_buy,neutral,buy,2026-04-10
"=""002902""",铭普光磁,0.4,0.4242424242424242,0.603030303030303,0.5121212121212121,0.4454545454545455,0.47696969696969693,0.8,0.09090909090909091,0.4454545454545455,strong_buy,neutral,buy,2026-04-10
"=""603203""",快克智能,0.31212121212121213,0.5575757575757576,0.5575757575757576,0.5575757575757576,0.4,0.47696969696969693,0.8,0.0,0.4,strong_buy,neutral,buy,2026-04-10
"=""603938""",三孚股份,0.46969696969696967,0.5575757575757576,0.4666666666666667,0.49090909090909096,0.4,0.47696969696969693,0.8,0.0,0.4,strong_buy,neutral,buy,2026-04-10
"=""603020""",爱普股份,0.4,0.4454545454545455,0.5121212121212121,0.5121212121212121,0.5121212121212121,0.4763636363636364,0.9333333333333333,0.09090909090909091,0.5121212121212121,strong_buy,neutral,strong_buy,2026-04-10
"=""600110""",诺德股份,0.35454545454545455,0.5575757575757576,0.4666666666666667,0.5575757575757576,0.4454545454545455,0.4763636363636364,0.8,0.09090909090909091,0.4454545454545455,strong_buy,neutral,buy,2026-04-10
"=""600869""",远东股份,0.603030303030303,0.4,0.5575757575757576,0.4666666666666667,0.35454545454545455,0.4763636363636364,0.8,-0.09090909090909091,0.35454545454545455,strong_buy,neutral,buy,2026-04-10
"=""002653""",海思科,0.3090909090909091,0.5363636363636364,0.603030303030303,0.31212121212121213,0.603030303030303,0.4727272727272728,0.9333333333333333,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10
"=""001325""",元创股份,0.5,0.4545454545454546,0.4545454545454546,0.5909090909090908,0.36363636363636365,0.4727272727272728,0.7272727272727273,0.0,0.36363636363636365,strong_buy,neutral,buy,2026-04-10
"=""000762""",西藏矿业,0.4666666666666667,0.49090909090909096,0.4,0.4454545454545455,0.5575757575757576,0.47212121212121216,0.9333333333333333,0.18181818181818182,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10
"=""003023""",彩虹集团,0.49090909090909096,0.49090909090909096,0.4666666666666667,0.4212121212121212,0.49090909090909096,0.47212121212121216,0.8,0.18181818181818182,0.49090909090909096,strong_buy,buy,buy,2026-04-10
"=""603076""",乐惠国际,0.4454545454545455,0.603030303030303,0.4666666666666667,0.35454545454545455,0.49090909090909096,0.47212121212121216,0.8,0.18181818181818182,0.49090909090909096,strong_buy,buy,buy,2026-04-10
"=""601866""",中远海发,0.4666666666666667,0.6484848484848484,0.4,0.4,0.4454545454545455,0.47212121212121216,0.8,0.09090909090909091,0.4454545454545455,strong_buy,neutral,buy,2026-04-10
"=""001400""",江顺科技,0.4,0.49090909090909096,0.603030303030303,0.4666666666666667,0.4,0.47212121212121216,0.8,0.0,0.4,strong_buy,neutral,buy,2026-04-10
"=""001309""",德明利,0.26666666666666666,0.5121212121212121,0.4212121212121212,0.5121212121212121,0.6484848484848484,0.47212121212121205,0.9333333333333333,0.36363636363636365,0.6484848484848484,strong_buy,buy,strong_buy,2026-04-10
"=""603876""",鼎胜新材,0.4,0.3333333333333333,0.37575757575757573,0.6484848484848484,0.603030303030303,0.47212121212121205,0.9333333333333333,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10
"=""603906""",龙蟠科技,0.4454545454545455,0.3787878787878788,0.5121212121212121,0.5121212121212121,0.5121212121212121,0.47212121212121205,0.9333333333333333,0.09090909090909091,0.5121212121212121,strong_buy,neutral,strong_buy,2026-04-10
"=""002408""",齐翔腾达,0.06666666666666667,0.6484848484848484,0.5575757575757576,0.603030303030303,0.4666666666666667,0.46848484848484845,0.9333333333333333,0.0,0.4666666666666667,strong_buy,neutral,buy,2026-04-10
"=""603033""",三维股份,0.46969696969696967,0.46969696969696967,0.5575757575757576,0.4,0.4454545454545455,0.46848484848484845,0.8,0.09090909090909091,0.4454545454545455,strong_buy,neutral,buy,2026-04-10
"=""002176""",江特电机,0.26666666666666666,0.49090909090909096,0.4666666666666667,0.5121212121212121,0.603030303030303,0.4678787878787879,0.9333333333333333,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10
"=""600309""",万华化学,0.24545454545454548,0.5575757575757576,0.5121212121212121,0.4666666666666667,0.5575757575757576,0.4678787878787879,0.9333333333333333,0.18181818181818182,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10
"=""000967""",盈峰环境,0.3090909090909091,0.4,0.5121212121212121,0.5121212121212121,0.603030303030303,0.4672727272727273,0.9333333333333333,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10
"=""603538""",美诺华,0.3090909090909091,0.4454545454545455,0.5121212121212121,0.4666666666666667,0.603030303030303,0.4672727272727273,0.9333333333333333,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10
"=""600105""",永鼎股份,0.35454545454545455,0.4,0.5121212121212121,0.5121212121212121,0.5575757575757576,0.4672727272727273,0.9333333333333333,0.18181818181818182,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10
"=""002222""",福晶科技,0.5575757575757576,0.5121212121212121,0.4212121212121212,0.35454545454545455,0.49090909090909096,0.4672727272727273,0.8,0.18181818181818182,0.49090909090909096,strong_buy,buy,buy,2026-04-10
"=""002107""",沃华医药,0.5121212121212121,0.603030303030303,0.2181818181818182,0.5575757575757576,0.4454545454545455,0.4672727272727273,0.8,0.09090909090909091,0.4454545454545455,strong_buy,neutral,buy,2026-04-10
