trade_date,symbol,name,pattern_id,close,old_high_date,distance_to_old_high_pct,reason,ma_10,ma_20,ma_60,return_15d,volume_ratio_20,platform_window_days,platform_range_pct,breakout_date,distance_to_platform_high_pct,distance_to_ma20,drawdown_15d,volume_contraction_ratio,consolidation_days,consolidation_range_pct,consolidation_volume_ratio,old_high_price,days_since_old_high,max_drawdown_since_old_high,tradingview_all_rating_2026-04-03,tradingview_all_rating_2026-04-07,tradingview_all_rating_2026-04-08,tradingview_all_rating_2026-04-09,tradingview_all_rating_2026-04-10,tradingview_avg_all_rating_5d,tradingview_all_rating_label,macd_top_divergence_15d,macd_bottom_divergence_15d
2026-04-10,"=""001367""",海森药业,1,25.5,2025-08-26,0.0721,"near old high 27.48 from 2025-08-26, distance=7.21%, drawdown=27.58%",25.625,24.0245,23.8113,0.1308,0.8874,,,,,,,,,,,27.48,148.0,0.2758,0.4454545454545455,0.3090909090909091,0.3090909090909091,0.2878787878787878,0.3545454545454545,0.3412121212121212,buy,False,False
2026-04-10,"=""002213""",大为股份,1,33.87,2025-11-20,0.0756,"near old high 36.64 from 2025-11-20, distance=7.56%, drawdown=34.01%",29.883,29.615,28.4257,0.1443,2.0123,,,,,,,,,,,36.64,92.0,0.3401,-0.4696969696969696,-0.2878787878787878,0.5121212121212121,0.603030303030303,0.5121212121212121,0.1739393939393939,strong_buy,False,False
2026-04-10,"=""002579""",中京电子,1,12.65,2025-09-19,0.0643,"near old high 13.52 from 2025-09-19, distance=6.43%, drawdown=21.45%",12.243,12.157,12.1218,0.0507,1.2635,,,,,,,,,,,13.52,130.0,0.2145,0.4666666666666667,0.603030303030303,0.4666666666666667,0.2636363636363636,0.4,0.44,buy,False,True
2026-04-10,"=""002663""",普邦股份,1,2.36,2025-11-14,0.0745,"near old high 2.55 from 2025-11-14, distance=7.45%, drawdown=26.67%",2.277,2.276,2.1675,0.0396,1.3673,,,,,,,,,,,2.55,96.0,0.2667,-0.6484848484848484,0.0909090909090909,0.4666666666666667,0.4212121212121212,0.5363636363636364,0.1733333333333333,strong_buy,False,False
2026-04-10,"=""002692""",远程股份,1,6.38,2025-09-11,0.0406,"near old high 6.65 from 2025-09-11, distance=4.06%, drawdown=25.56%",6.001,5.8525,5.696,0.1193,1.292,,,,,,,,,,,6.65,136.0,0.2556,-0.2454545454545454,-0.0212121212121212,0.603030303030303,0.5575757575757576,0.4212121212121212,0.263030303030303,buy,False,False
2026-04-10,"=""002705""",新宝股份,1,15.38,2025-09-22,0.0726,"near old high 16.58 from 2025-09-22, distance=7.26%, drawdown=24.39%",14.962,14.256,14.2552,0.1469,1.4414,,,,,,,,,,,16.5842,129.0,0.2439,0.0878787878787878,0.4242424242424242,0.5575757575757576,0.4666666666666667,0.5575757575757576,0.4187878787878787,strong_buy,False,False
2026-04-10,"=""002850""",科达利,1,183.4,2025-10-09,0.0767,"near old high 198.64 from 2025-10-09, distance=7.67%, drawdown=27.76%",178.313,166.8325,165.3295,0.2268,0.7479,,,,,,,,,,,198.64,122.0,0.2776,0.2181818181818182,0.3545454545454545,0.5363636363636364,0.5575757575757576,0.5121212121212121,0.4357575757575757,strong_buy,False,False
2026-04-10,"=""002950""",奥美医疗,1,13.56,2025-11-10,0.03,"near old high 13.98 from 2025-11-10, distance=3.00%, drawdown=27.18%",12.293,11.9815,11.497,0.1262,1.317,,,,,,,,,,,13.98,100.0,0.2718,0.2909090909090909,0.603030303030303,0.5121212121212121,0.4909090909090909,0.6484848484848484,0.509090909090909,strong_buy,False,False
2026-04-10,"=""002960""",青鸟消防,1,12.17,2025-12-01,0.0256,"near old high 12.49 from 2025-12-01, distance=2.56%, drawdown=20.74%",11.847,11.6435,11.4065,0.0799,0.7426,,,,,,,,,,,12.49,85.0,0.2074,-0.2454545454545454,0.3121212121212121,0.603030303030303,0.4666666666666667,0.5575757575757576,0.3387878787878787,strong_buy,False,False
2026-04-10,"=""003026""",中晶科技,1,36.58,2025-09-24,0.0584,"near old high 38.85 from 2025-09-24, distance=5.84%, drawdown=25.69%",35.617,35.1005,34.1007,0.0652,1.3241,,,,,,,,,,,38.85,127.0,0.2569,-0.1333333333333333,-0.1121212121212121,0.5575757575757576,0.3757575757575757,0.603030303030303,0.2581818181818182,strong_buy,False,True
